ЭФЕМЕРИДЫ ПО ОБЪЕКТУ:  90108
Для пункта:  10016 Маяки   46 23'50.68"   30 16'17.74"    14m
C   2010-02-01 12:00
по  2010-02-16 12:00
Шаг  0:10:00
Мин.угол места:          10 град
Макс.угол места Солнца: -10 град
Стандартный блеск :      8.8 (зв.вел.)

ОБОЗНАЧЕНИЯ
RA        прямое восхождение, тек.эпоха
DECL      склонение, тек.эпоха
RARate    скорость по пр.восх., арксек/мин
DeclRate  скорость по склонению, арксек/мин
HourAng   часовой угол
Az        азимут
Um        угол места
Phase     фазовый угол
Range     дальность
Mag       зв.величина (оценка)

   Date        UTC        RA         DECL      RARate   DeclRate    HourAng      Az     Um    Phase  Range  Mag
2010-02-01  23:00:00  08 30 40.0  +04 35 17  +000830.8 -000158.2  01 18 34.2  208.210 44.859  14.50  38882 15.5
2010-02-01  23:10:00  08 39 52.5  +04 08 24     <<SHADOW>>        01 19 23.2  208.274 44.369  13.86  38952 ----
2010-02-01  23:20:00  08 49 02.6  +03 40 30     <<SHADOW>>        01 20 14.8  208.344 43.859  13.61  39021 ----
2010-02-01  23:30:00  08 58 10.3  +03 11 39     <<SHADOW>>        01 21 08.7  208.419 43.332  13.75  39087 ----
2010-02-01  23:40:00  09 07 15.8  +02 41 54  +000816.6 -000181.1  01 22 04.9  208.497 42.786  14.27  39151 15.6
2010-02-01  23:50:00  09 16 19.2  +02 11 18  +000813.6 -000186.1  01 23 03.1  208.580 42.225  15.14  39213 15.6
2010-02-02  00:00:00  09 25 20.7  +01 39 54  +000810.8 -000190.7  01 24 03.3  208.665 41.648  16.29  39272 15.6
2010-02-02  00:10:00  09 34 20.4  +01 07 45  +000808.3 -000195.1  01 25 05.2  208.753 41.057  17.67  39328 15.6
2010-02-02  00:20:00  09 43 18.5  +00 34 54  +000806.0 -000199.1  01 26 08.8  208.842 40.453  19.22  39382 15.6
2010-02-02  00:30:00  09 52 15.2  +00 01 24  +000804.1 -000202.9  01 27 13.7  208.933 39.836  20.92  39433 15.6
2010-02-02  00:40:00  10 01 10.6  -00 32 42  +000802.3 -000206.3  01 28 19.9  209.023 39.208  22.72  39481 15.6
2010-02-02  00:50:00  10 10 05.0  -01 07 22  +000800.9 -000209.5  01 29 27.2  209.114 38.570  24.61  39527 15.6
2010-02-02  01:00:00  10 18 58.6  -01 42 31  +000799.8 -000212.4  01 30 35.3  209.203 37.923  26.55  39569 15.7
2010-02-02  01:10:00  10 27 51.5  -02 18 08  +000798.9 -000214.9  01 31 44.0  209.291 37.268  28.56  39609 15.7
2010-02-02  01:20:00  10 36 43.9  -02 54 09  +000798.4 -000217.2  01 32 53.2  209.376 36.605  30.59  39645 15.7
2010-02-02  01:30:00  10 45 36.1  -03 30 31  +000798.2 -000219.2  01 34 02.7  209.458 35.937  32.68  39679 15.7
2010-02-02  01:40:00  10 54 28.2  -04 07 11  +000798.3 -000220.8  01 35 12.2  209.537 35.264  34.77  39709 15.7
2010-02-02  01:50:00  11 03 20.5  -04 44 07  +000798.7 -000222.2  01 36 21.6  209.611 34.587  36.90  39737 15.8
