ЭФЕМЕРИДЫ ПО ОБЪЕКТУ:  95377
Для пункта:  10016 Маяки   46 23'50.68"   30 16'17.74"    14m
C   2010-04-15 12:00
по  2010-05-01 12:00
Шаг  0:10:00
Мин.угол места:          10 град
Макс.угол места Солнца: -10 град
Стандартный блеск :      8.1 (зв.вел.)

ОБОЗНАЧЕНИЯ
RA        прямое восхождение, тек.эпоха
DECL      склонение, тек.эпоха
RARate    скорость по пр.восх., арксек/мин
DeclRate  скорость по склонению, арксек/мин
HourAng   часовой угол
Az        азимут
Um        угол места
Phase     фазовый угол
Range     дальность
Mag       зв.величина (оценка)

   Date        UTC        RA         DECL      RARate   DeclRate    HourAng      Az     Um    Phase  Range  Mag
2010-04-15  19:40:00  06 49 04.5  -06 11 19  +002372.6 +000151.7  04 27 25.3  248.651 11.036 100.26  19284 14.9
2010-04-16  21:10:00  10 51 46.6  -09 23 39  +000444.8 -000089.5  01 58 54.6  213.721 28.207  41.25  38564 15.0
2010-04-16  21:20:00  10 56 42.9  -09 38 48  +000444.5 -000092.4  02 03 59.8  214.912 27.480  40.03  38608 15.0
2010-04-16  21:30:00  11 01 39.5  -09 54 28  +000445.4 -000095.6  02 09 04.9  216.079 26.733  38.80  38595 15.0
2010-04-16  21:40:00  11 06 37.1  -10 10 41  +000447.7 -000099.1  02 14 09.0  217.218 25.966  37.57  38527 15.0
2010-04-16  21:50:00  11 11 36.7  -10 27 31  +000451.3 -000102.8  02 19 11.0  218.324 25.181  36.33  38403 15.0
2010-04-16  22:00:00  11 16 39.1  -10 44 59  +000456.3 -000107.0  02 24 10.2  219.394 24.380  35.09  38222 15.0
2010-04-16  22:10:00  11 21 45.4  -11 03 12  +000462.8 -000111.6  02 29 05.6  220.425 23.564  33.82  37983 14.9
2010-04-16  22:20:00  11 26 56.5  -11 22 12  +000470.8 -000116.6  02 33 56.1  221.413 22.736  32.56  37685 14.9
2010-04-16  22:30:00  11 32 13.6  -11 42 06  +000480.6 -000122.2  02 38 40.7  222.353 21.898  31.26  37328 14.9
2010-04-16  22:40:00  11 37 37.7  -12 02 59  +000492.3 -000128.5  02 43 18.2  223.242 21.050  29.94  36910 14.8
